Rank|Name|Sport|Wikipedia Page|Gender|Total Pay|Salary/Winnings|Endorsements|Country|Year|Date|Home|Winnings
63|Fernando Torres|Soccer|http://en.wikipedia.org/wiki/Fernando_Torres|Male|$21,300,000|$17,800,000|$3,500,000|Spain|1984|20/03/1984|Fuenlabrada, Spain|186
1|Floyd Mayweather|Boxing|http://en.wikipedia.org/wiki/Floyd_Mayweather,_Jr.|Male|$105,000,000|$105,000,000|$0|United States|1977|24/02/1977|Grand Rapids, Michigan, United States|173
92|Franck Ribéry|Soccer|http://en.wikipedia.org/wiki/Franck_Rib%C3%A9ry|Male|$18,300,000|$16,800,000|$1,500,000|France|1983|07/04/1983|Boulogne-sur-Mer, France|170
14|Gareth Bale|Soccer|http://en.wikipedia.org/wiki/Gareth_Bale|Male|$36,400,000|$25,400,000|$11,000,000|Wales|1989|16/07/1989|Cardiff, Wales|183
53|Geno Atkins|Football|http://en.wikipedia.org/wiki/Geno_Atkins|Male|$22,400,000|$21,700,000|$700,000|United States|1979|19/11/1979|St. Louis|193
53|Geno Atkins|Football|http://en.wikipedia.org/wiki/Geno_Atkins|Male|$22,400,000|$21,700,000|$700,000|United States|1988|28/03/1988|Pembroke Pines, Florida, United States|185
53|Geno Atkins|Football|http://en.wikipedia.org/wiki/Geno_Atkins|Male|$22,350,000|$22,300,000|$50,000|United States|1979|19/11/1979|St. Louis|193
53|Geno Atkins|Football|http://en.wikipedia.org/wiki/Geno_Atkins|Male|$22,350,000|$22,300,000|$50,000|United States|1988|28/03/1988|Pembroke Pines, Florida, United States|185
59|Yaya Touré|Soccer|http://en.wikipedia.org/wiki/Yaya_Tour%C3%A9|Male|$21,700,000|$19,200,000|$2,500,000|Ivory Coast|1983|13/05/1983|Bouaké, Ivory Coast|191
64|Henrik Stenson|Golf|http://en.wikipedia.org/wiki/Henrik_Stenson|Male|$21,200,000|$18,000,000|$3,200,000|Sweden|1976|05/04/1976|Gothenburg, Sweden|185
94|Jairus Byrd|Football|http://en.wikipedia.org/wiki/Jairus_Byrd|Male|$18,000,000|$17,900,000|$100,000|United States|1986|7/10/1986|San Diego, California, United States|178
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,700,000|$20,200,000|$500,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,700,000|$20,200,000|$500,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,700,000|$20,200,000|$500,000|United States|1983|27/12/1983|San Diego, California, United States|193
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,750,000|$20,700,000|$50,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,750,000|$20,700,000|$50,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,750,000|$20,700,000|$50,000|United States|1983|27/12/1983|San Diego, California, United States|193
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,700,000|$20,500,000|$200,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,700,000|$20,500,000|$200,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Jason Peters|Football|http://en.wikipedia.org/wiki/Jason_Peters|Male|$20,700,000|$20,500,000|$200,000|United States|1983|27/12/1983|San Diego, California, United States|193
97|Jayson Werth|Baseball|http://en.wikipedia.org/wiki/Jayson_Werth|Male|$17,500,000|$17,300,000|$200,000|United States|1979|20/05/1979|Springfield, Illinois|196
97|Jayson Werth|Baseball|http://en.wikipedia.org/wiki/Jayson_Werth|Male|$17,500,000|$17,300,000|$200,000|United States|1984|23/03/1984|Pittsburgh|193
97|Jayson Werth|Baseball|http://en.wikipedia.org/wiki/Jayson_Werth|Male|$17,500,000|$16,800,000|$700,000|United States|1979|20/05/1979|Springfield, Illinois|196
97|Jayson Werth|Baseball|http://en.wikipedia.org/wiki/Jayson_Werth|Male|$17,500,000|$16,800,000|$700,000|United States|1984|23/03/1984|Pittsburgh|193
86|Jeff Gordon|Racing|http://en.wikipedia.org/wiki/Jeff_Gordon|Male|$18,700,000|$13,200,000|$5,500,000|England|1980|30/05/1980|Whiston, Merseyside, England, United States|183
86|Jeff Gordon|Racing|http://en.wikipedia.org/wiki/Jeff_Gordon|Male|$18,700,000|$13,200,000|$5,500,000|United States|1971|04/08/1971|Vallejo, California, United States|150
86|Jeff Gordon|Racing|http://en.wikipedia.org/wiki/Jeff_Gordon|Male|$18,700,000|$13,700,000|$5,000,000|England|1980|30/05/1980|Whiston, Merseyside, England, United States|183
86|Jeff Gordon|Racing|http://en.wikipedia.org/wiki/Jeff_Gordon|Male|$18,700,000|$13,700,000|$5,000,000|United States|1971|04/08/1971|Vallejo, California, United States|150
42|Jimmie Johnson|Racing|http://en.wikipedia.org/wiki/Jimmie_Johnson|Male|$23,500,000|$17,000,000|$6,500,000|United States|1975|17/09/1975|El Cajon, California, United States|165
52|Joe Johnson|Basketball|http://en.wikipedia.org/wiki/Joe_Johnson_(basketball)|Male|$22,500,000|$21,500,000|$1,000,000|United States|1981|29/06/1981|Little Rock, Arkansas|201
48|Johan Santana|Baseball|http://en.wikipedia.org/wiki/Johan_Santana|Male|$22,900,000|$22,500,000|$400,000|Venezuela|1979|13/03/1979|Mérida, Venezuela|183
48|Johan Santana|Baseball|http://en.wikipedia.org/wiki/Johan_Santana|Male|$22,900,000|$22,500,000|$400,000|United States|1975|27/07/1975|New York City|190
48|Johan Santana|Baseball|http://en.wikipedia.org/wiki/Johan_Santana|Male|$22,900,000|$22,600,000|$300,000|Venezuela|1979|13/03/1979|Mérida, Venezuela|183
48|Johan Santana|Baseball|http://en.wikipedia.org/wiki/Johan_Santana|Male|$22,900,000|$22,600,000|$300,000|United States|1975|27/07/1975|New York City|190
18|Matthew Stafford|Football|http://en.wikipedia.org/wiki/Matthew_Stafford|Male|$33,000,000|$31,500,000|$1,500,000|United States|1988|07/02/1988|Tampa, Florida, United States|188
77|Albert Pujols|Baseball|http://en.wikipedia.org/wiki/Albert_Pujols|Male|$20,300,000|$18,300,000|$2,000,000|Dominican Republic|1980|16/01/1980|Santo Domingo|190
77|Albert Pujols|Baseball|http://en.wikipedia.org/wiki/Albert_Pujols|Male|$20,300,000|$18,300,000|$2,000,000|Venezuela|1986|08/04/1986|Valencia, Venezuela|190
77|Albert Pujols|Baseball|http://en.wikipedia.org/wiki/Albert_Pujols|Male|$20,300,000|$20,100,000|$200,000|Dominican Republic|1980|16/01/1980|Santo Domingo|190
77|Albert Pujols|Baseball|http://en.wikipedia.org/wiki/Albert_Pujols|Male|$20,300,000|$20,100,000|$200,000|Venezuela|1986|08/04/1986|Valencia, Venezuela|190
32|Miguel Cabrera|Baseball|http://en.wikipedia.org/wiki/Miguel_Cabrera|Male|$24,600,000|$22,600,000|$2,000,000|Venezuela|1983|18/04/1983|Venezuela, Maracay|193
31|Joe Mauer|Baseball|http://en.wikipedia.org/wiki/Joe_Mauer|Male|$24,800,000|$23,000,000|$1,800,000|United States|1983|19/04/1983|Saint Paul, Minnesota|196
62|Joe Haden|Football|http://en.wikipedia.org/wiki/Joe_Haden|Male|$21,350,000|$21,200,000|$150,000|United States|1989|14/04/1989|Fort Washington, Maryland, United States|180
69|Julius Peppers|Football|http://en.wikipedia.org/wiki/Julius_Peppers|Male|$20,800,000|$20,400,000|$400,000|United States|1980|18/01/1980|Wilson, North Carolina, United States|201
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,700,000|$20,200,000|$500,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,700,000|$20,200,000|$500,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,700,000|$20,200,000|$500,000|United States|1983|27/12/1983|San Diego, California, United States|193
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,750,000|$20,700,000|$50,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,750,000|$20,700,000|$50,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,750,000|$20,700,000|$50,000|United States|1983|27/12/1983|San Diego, California, United States|193
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,700,000|$20,500,000|$200,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,700,000|$20,500,000|$200,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Justin Verlander|Baseball|http://en.wikipedia.org/wiki/Justin_Verlander|Male|$20,700,000|$20,500,000|$200,000|United States|1983|27/12/1983|San Diego, California, United States|193
20|Kevin Durant|Basketball|http://en.wikipedia.org/wiki/Kevin_Durant|Male|$31,900,000|$17,900,000|$14,000,000|United States|1988|29/09/1988|Washington, D.C.|206
5|Kobe Bryant|Basketball|http://en.wikipedia.org/wiki/Kobe_Bryant|Male|$61,500,000|$30,500,000|$31,000,000|United States|1978|23/08/1978|Philadelphia|198
89|Larry Fitzgerald|Football|http://en.wikipedia.org/wiki/Larry_Fitzgerald|Male|$18,500,000|$12,500,000|$6,000,000|Germany|1988|15/10/1988|Gelsenkirchen, Germany|181
89|Larry Fitzgerald|Football|http://en.wikipedia.org/wiki/Larry_Fitzgerald|Male|$18,500,000|$12,500,000|$6,000,000|United States|1983|31/08/1983|Minneapolis|191
89|Larry Fitzgerald|Football|http://en.wikipedia.org/wiki/Larry_Fitzgerald|Male|$18,500,000|$17,000,000|$1,500,000|Germany|1988|15/10/1988|Gelsenkirchen, Germany|181
